ID,TahunID,ProdiID,ProgramID,MKID,HariID,DosenID,AsistenType,AsistenID,RuangID,WaktuID,WaktuID2,JamMulai,JamSelesai,JumlahMhsw,UTSTanggal,UTSJamMulai,UTSJamSelesai,UTSRuangID,UASTanggal,UASJamMulai,UASJamSelesai,UASRuangID,Elearning,gabungan,IDJadwalGabungan,MKKode,KelasID,GrupKelasID,UTSPengawas1,UTSPengawas2,UASPengawas1,UASPengawas2,status,KodeWaktu,Teamteaching,Force,Bond,glue,Penanda
278,3,4,1,3,4,8,NULL,NULL,3,3,4,10:00:00,11:50:00,7,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,16,UNI1001,1,5,0,0,0,0,Y,,1,0,A,3_1_5_3,A
279,3,6,1,2,4,47,NULL,NULL,5,3,4,10:00:00,11:50:00,17,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,17,UNI1003,1,7,0,0,0,0,Y,,1,0,B,2_1_7_3,B
280,3,7,1,2,4,47,NULL,NULL,5,3,4,10:00:00,11:50:00,11,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,17,UNI1003,1,7,0,0,0,0,Y,,1,0,B,2_1_7_3,B
281,3,13,1,2,4,47,NULL,NULL,5,3,4,10:00:00,11:50:00,20,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,17,UNI1003,1,7,0,0,0,0,Y,,1,0,B,2_1_7_3,B
282,3,4,1,1,4,13,NULL,NULL,2,3,4,10:00:00,11:50:00,18,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,44,UNI1004,1,9,0,0,0,0,Y,,1,0,C,1_1_9_3,C
290,3,4,1,1,4,13,NULL,NULL,5,6,7,13:00:00,14:50:00,7,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,45,UNI1004,1,4,0,0,0,0,Y,,1,0,C,1_1_4_3,A
293,3,3,1,2,4,47,NULL,NULL,3,6,7,13:00:00,14:50:00,11,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,57,UNI1003,1,8,0,0,0,0,Y,,1,0,B,2_1_8_3,C
294,3,4,1,2,4,47,NULL,NULL,3,6,7,13:00:00,14:50:00,19,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,57,UNI1003,1,8,0,0,0,0,Y,,1,0,B,2_1_8_3,C
295,3,6,1,2,4,47,NULL,NULL,3,6,7,13:00:00,14:50:00,14,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,57,UNI1003,1,8,0,0,0,0,Y,,1,0,B,2_1_8_3,C
296,3,7,1,2,4,47,NULL,NULL,3,6,7,13:00:00,14:50:00,5,0000-00-00,00:00:00,00:00:00,0,0000-00-00,00:00:00,00:00:00,0,Tidak,YA,57,UNI1003,1,8,0,0,0,0,Y,,1,0,B,2_1_8_3,C
