ID,CurriculumID,Semester,CurriculumTypeID,ProdiID,EducationLevelID,MKID,MKCode,MKType,LecturerNIP,CoursesGroupsID,TotalSKS,SKSTeori,SKSPraktikum,SKSPraktikLapangan,StatusMK,PreconditionMKID,StatusSilabus,StatusSAP,UpdateBy,UpdateAt
134,1,5,1,1,NULL,191,ARC3115,1,2114041,NULL,8,2,6,0,NULL,,0,0,2017090,2018-01-08 10:10:10
135,1,5,1,1,NULL,190,ARC3151,1,2114002,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
136,1,5,1,1,NULL,192,ARC3161,1,2114002,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
137,1,5,2,1,NULL,199,ENG2101,1,2616007,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
138,1,5,1,1,NULL,241,ARC3481,1,2114040,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
139,1,5,1,1,NULL,194,ARC2483,1,2114002,NULL,3,3,0,0,NULL,,170811,170812,2017090,2018-01-08 10:10:10
140,1,5,1,2,NULL,218,CEM3112,1,2215084,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
141,1,5,2,2,NULL,168,UNC0101,1,1014073,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
142,1,5,1,2,NULL,274,CEM3121,1,2215017,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
143,1,5,1,2,NULL,215,CEM3122,1,2215017,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
144,1,5,1,2,NULL,219,CEM3123,1,2214036,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
145,1,5,1,2,NULL,240,CEM3481,1,2215017,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
146,1,5,1,4,NULL,84,MKU001,1,1014073,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
147,1,5,1,4,NULL,83,MKU004 ,1,1014073,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
148,1,6,1,4,NULL,213,UNC0201,1,1014073,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
149,1,5,1,4,NULL,289,ACC5001,1,1214044,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
150,1,5,1,4,NULL,290,SOC5001,1,1115054,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
151,1,5,1,4,NULL,291,ACC5002,0,1215032,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
152,1,5,1,4,NULL,293,ACC3147,0,1215043,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
153,1,7,1,4,NULL,296,ACC7001,1,1216016,NULL,3,3,0,0,NULL,164,0,0,2017090,1/8/2018 10:10
