ID,SemesterID,ProgramsCampusID,BaseProdiID,MKID,MKCode,Teacher,TeamTeaching,DayID,ClassroomID,ClassGroup,StartSessions,EndSessions
1057,6,1,3,154,ARC0008,2114033,1,6,8,93,12:00:00,13:50:00
1061,6,1,3,36,ARC2012,2114045,0,4,8,20,13:00:00,15:50:00
1062,6,1,3,34,ARC2042,2116012,1,3,8,20,08:00:00,09:50:00
1063,6,1,3,34,ARC2042,2116012,1,3,8,20,10:00:00,11:50:00
1064,6,1,3,34,ARC2042,2114041,1,3,8,20,13:00:00,14:50:00
1065,6,1,3,34,ARC2042,2114041,1,3,8,20,15:00:00,16:50:00
1066,6,1,3,34,ARC2042,2114033,1,5,8,20,08:00:00,09:50:00
1067,6,1,3,34,ARC2042,2114033,1,5,8,20,10:00:00,11:50:00
1068,6,1,3,34,ARC2042,2114033,1,5,8,20,12:00:00,13:50:00
1069,6,1,3,34,ARC2042,2114033,1,5,8,20,14:00:00,15:50:00
1070,6,1,3,34,ARC2042,2114033,1,5,8,20,16:00:00,17:50:00
1071,6,1,4,15,CEM1031,2214066,0,5,4,19,13:00:00,14:50:00
1072,6,1,4,25,CEM2032,2616007,0,5,10,19,09:00:00,11:50:00
1073,6,1,4,26,CEM2051,2215010,0,2,8,19,13:00:00,14:50:00
1074,7,1,13,91,HOT0002,3115061,0,4,1,129,08:00:00,11:50:00
1075,7,1,13,91,HOT0002,3115061,0,4,1,130,13:00:00,16:50:00
1076,7,1,13,93,HOT0004,3115006,1,4,20,67,08:00:00,11:50:00
1077,7,1,13,93,HOT0004,3115006,1,4,20,68,13:00:00,16:50:00
1078,7,1,13,95,HOT0006,3114016,0,4,18,82,08:00:00,09:50:00
1079,7,1,13,96,HOT0007,3114039,1,4,18,82,10:00:00,11:50:00
1080,7,1,13,94,HOT0005,1015022,0,4,18,82,13:00:00,14:50:00
1081,7,1,13,91,HOT0002,3115061,1,2,1,67,08:00:00,11:50:00
1082,7,1,13,91,HOT0002,3115061,1,2,1,68,13:00:00,16:50:00
1083,7,1,13,93,HOT0004,3115006,0,2,20,69,08:00:00,11:50:00
1084,7,1,13,93,HOT0004,3115006,0,2,20,70,13:00:00,16:50:00
1085,7,1,13,95,HOT0006,3114016,0,2,18,128,10:00:00,11:50:00
1086,7,1,13,96,HOT0007,3114039,0,2,18,128,13:00:00,14:50:00
1087,7,1,13,94,HOT0005,1015022,0,2,18,128,15:00:00,16:50:00
1088,7,1,13,91,HOT0002,3115061,0,3,1,69,08:00:00,11:50:00
1090,7,1,13,91,HOT0002,3115061,0,3,1,70,13:00:00,16:50:00
1091,7,1,13,93,HOT0004,3115006,0,3,20,129,08:00:00,11:50:00
1092,7,1,13,93,HOT0004,3115006,0,3,20,130,13:00:00,16:50:00
1094,7,1,13,95,HOT0006,3114016,0,3,18,81,08:00:00,09:50:00
1095,7,1,13,96,HOT0007,3114039,1,3,18,81,10:00:00,11:50:00
1096,7,1,13,94,HOT0005,1015022,0,3,18,81,15:00:00,16:50:00
1097,7,1,13,302,ELC5002T,3114038,0,2,16,131,13:00:00,14:50:00
1098,7,1,13,300,ELC5001T,3114014,0,2,16,131,15:00:00,16:50:00
1099,7,1,13,308,ELC5005,3116015,0,2,17,132,13:00:00,14:50:00
1100,7,1,13,304,ELC5003T,3114039,0,2,17,132,15:00:00,15:50:00
1101,7,1,13,306,ELC5004T,3116015,0,2,17,132,16:00:00,16:50:00
1102,7,1,13,305,ELC5003P,3114039,0,5,11,132,08:00:00,11:50:00
1103,7,1,13,303,ELC5002P,3114038,0,5,12,131,08:00:00,11:50:00
1104,7,1,13,301,ELC5001P,3114014,0,5,12,131,13:00:00,16:50:00
1105,7,1,13,307,ELC5004P,3116015,0,5,22,132,13:00:00,16:50:00
1106,7,1,13,63,WUN0011,3114038,0,6,4,139,08:00:00,10:50:00
1107,7,1,13,63,WUN0011,3114016,0,6,5,140,08:00:00,10:50:00
1108,7,1,13,63,WUN0011,3114014,0,6,2,141,08:00:00,10:50:00
1109,7,1,7,83,"MKU004 ",1014073,0,6,17,134,08:00:00,09:50:00
1110,7,1,13,83,"MKU004 ",1014073,0,6,17,134,08:00:00,09:50:00
1111,7,1,7,84,MKU001,1014073,0,6,17,138,10:00:00,11:50:00
1112,7,1,13,84,MKU001,1014073,0,6,17,138,10:00:00,11:50:00
1113,7,1,6,83,"MKU004 ",1014073,0,6,17,134,08:00:00,09:50:00
1114,7,1,6,84,MKU001,1014073,0,6,17,138,10:00:00,11:50:00
1115,7,1,6,323,ENT6002,2416026,1,6,4,142,13:00:00,16:50:00
1116,7,1,6,295,ENT5004,1114080,0,4,4,142,08:00:00,09:50:00
1117,7,1,6,290,SOC5001,1115054,0,3,16,143,08:00:00,11:50:00
1118,7,1,7,290,SOC5001,1115054,0,3,16,143,08:00:00,11:50:00
1119,7,1,6,324,ENT7003,1114048,1,3,16,142,13:00:00,16:50:00
1120,7,1,6,321,ENT5001,1114055,1,5,5,142,13:00:00,16:50:00
1121,7,1,6,294,ENT0001,1116047,0,4,2,88,08:00:00,11:50:00
1122,7,1,6,288,PUN0010,1115054,0,5,15,144,09:00:00,11:50:00
1123,7,1,7,288,PUN0010,1115054,0,5,15,144,09:00:00,11:50:00
1124,7,1,6,285,PUN0013,1115053,0,2,24,145,13:00:00,16:50:00
1125,7,1,7,285,PUN0013,1115053,0,2,24,145,13:00:00,16:50:00
1126,7,1,6,320,PUN0011,1217099,0,3,2,88,13:00:00,15:50:00
1127,7,1,6,286,PUN0014,3015034,1,5,17,146,13:00:00,16:50:00
1128,7,1,7,286,PUN0014,3015034,1,5,17,146,13:00:00,16:50:00
1129,7,1,6,84,MKU001,1014073,0,6,17,147,13:00:00,14:50:00
1130,7,1,13,64,WUN0012,1115045,0,6,5,187,11:00:00,14:50:00
1131,7,1,13,64,WUN0012,1115045,0,6,5,189,15:00:00,19:00:00
1132,7,1,13,297,UNI5002,3116050,0,3,4,133,08:00:00,11:50:00
1133,7,1,13,92,HOT0003,3114016,1,5,10,82,08:00:00,09:50:00
1134,7,1,13,92,HOT0003,3114016,1,5,17,128,10:00:00,11:50:00
1135,7,1,13,298,HBP5017T,3114039,0,2,3,149,10:00:00,11:50:00
1136,7,1,13,298,HBP5017T,3116015,0,2,24,150,10:00:00,11:50:00
1137,7,1,13,299,HBP5017P,3114039,0,3,3,149,13:00:00,16:50:00
1138,7,1,13,299,HBP5017P,3116015,0,3,4,150,13:00:00,16:50:00
1139,7,1,13,90,HOT0001,3116050,0,3,18,81,13:00:00,14:50:00
1140,7,1,13,90,HOT0001,3116050,0,3,18,82,17:00:00,19:00:00
1141,7,1,13,92,HOT0003,3114016,1,5,4,81,15:00:00,16:50:00
1143,7,1,13,90,HOT0001,3114016,1,5,4,128,13:00:00,14:50:00
1144,7,1,13,64,WUN0012,1116049,0,5,10,188,10:00:00,13:50:00
1145,7,1,13,309,HOT0016,3114038,0,6,20,151,13:00:00,14:50:00
1146,7,1,13,310,HOT0017,3114038,0,6,13,151,15:00:00,19:00:00
1148,7,1,6,331,UGC1101,1116038,0,5,4,156,08:00:00,11:50:00
1149,7,1,6,331,ENT1101,1115027,1,2,16,157,08:00:00,11:50:00
1150,7,1,6,328,ENT1103,1115027,0,3,24,156,08:00:00,11:50:00
1151,7,1,6,328,ENT1103,1115027,0,5,16,157,13:00:00,16:50:00
1153,7,1,6,329,UGC1102,1114048,0,4,16,157,08:00:00,11:50:00
1154,7,1,6,242,ACC1101,1215043,0,3,26,156,13:00:00,16:50:00
1155,7,1,6,242,ACC1101,1215043,0,5,3,157,08:00:00,11:50:00
1156,7,1,6,169,ENT1101,1114080,0,6,3,156,13:00:00,16:50:00
1157,7,1,3,169,ENT1101,1014023,0,6,3,157,08:00:00,10:50:00
1158,7,1,7,296,ACC7001,1216016,0,3,17,158,13:00:00,15:50:00
1159,7,1,7,283,ACC0002,1215032,0,3,28,86,09:00:00,11:50:00
1160,7,1,7,284,PUN0012,1115054,0,2,17,86,09:00:00,11:50:00
1161,7,1,7,291,ACC5002,1215032,0,2,15,158,08:00:00,10:50:00
1162,7,1,7,287,ACC0003,1215043,0,4,4,86,10:00:00,11:50:00
1163,7,1,7,287,ACC0003,1215043,0,6,15,86,10:00:00,11:50:00
1164,7,1,7,289,ACC5001,1214044,0,4,17,158,08:00:00,11:50:00
1165,7,1,7,293,ACC3147,1215043,0,6,2,158,13:00:00,15:50:00
1166,7,1,13,311,HOT0018,3115006,1,5,13,151,08:00:00,17:50:00
1173,7,1,14,182,LAW1103,3015016,0,2,10,66,09:00:00,11:50:00
1174,7,1,14,210,LAW2114,3015034,0,2,3,159,13:00:00,14:50:00
1175,7,1,14,248,LAW2113,3015034,0,2,3,159,15:00:00,16:50:00
1176,7,1,14,238,LAW2119,3016046,1,3,5,159,08:00:00,09:50:00
1177,7,1,14,224,LAW2118,3015016,0,3,5,159,13:00:00,15:50:00
1178,7,1,14,180,LAW1101,3015016,1,4,15,66,13:00:00,15:50:00
1179,7,1,14,272,LAW2116,3016044,0,4,10,159,10:00:00,11:50:00
1180,7,1,14,255,LAW2117,3016041,0,4,10,159,14:00:00,16:50:00
1181,7,1,14,181,LAW1102,3015016,1,5,17,66,13:00:00,16:50:00
