ID,SemesterID,YearCode,NPM,ScheduleID,MKCode,MKName,MKNameEng,Evaluasi1,Evaluasi2,Evaluasi3,Evaluasi4,Evaluasi5,UTS,UAS,Score,Grade,Approval,TotalSKS
11285,7,20161,22140004,1274,CEM1011,Physics,Physics,86,79,100,,,85,94,89.15,A,1,2
11286,7,20161,22140014,1274,CEM1011,Physics,Physics,76,81,90,,,97,95,91.90,A,1,2
7707,6,20152,22140015,1071,CEM1031,Hydrology,Hydrology,100,100,70,,,0,85,56.75,C,1,2
11125,7,20161,22140007,1276,CEM1031,Hydrology,Hydrology,60,,,,,,40,32.00,E,1,2
11292,7,20161,22140014,1276,CEM1031,Hydrology,Hydrology,70,,,,,55,55,59.50,C,1,2
11287,7,20161,22140004,1280,CEM2011,"Applied Statistics","Applied Statistics",75.71,,,,,50,77,68.30,B-,1,2
7706,6,20152,22140015,1072,CEM2032,"Construction Surveying","Construction Surveying",65.43,,,,,39,29.09,43.46,D,1,2
7705,6,20152,22140015,1073,CEM2051,"Introduction to Construction Project Management","Introduction to Construction Project Management",75,80,78,,,60,0,44.30,D,1,3
10951,7,20161,22140005,1279,CEM2051,"Introduction to Construction Project Management","Introduction to Construction Project Management",60,,,,,60,70,63.50,C+,1,3
11126,7,20161,22140007,1314,CEM2043,"Introduction to Construction Building","Introduction to Construction Building",52.76,,,,,58,75,62.38,C+,1,2
10950,7,20161,22140005,1277,CEM2041,"Structural Analysis 1","Structural Analysis 1",60,,,,,25,50,44.20,D,1,3
11293,7,20161,22140014,1277,CEM2041,"Structural Analysis 1","Structural Analysis 1",60,,,,,25,35,39.00,E,1,3
10346,7,20161,11140008,1286,SOC2107,"Sustainable Energy Solutions","Sustainable Energy Solutions",70,75,,,,56,56,60.95,C+,1,4
10949,7,20161,22140005,1275,CEM3043,"Construction Procurement & Bidding Process","Construction Procurement & Bidding Process",70,,,,,66,73,69.60,B-,1,3
11124,7,20161,22140007,1275,CEM3043,"Construction Procurement & Bidding Process","Construction Procurement & Bidding Process",45,,90,,,20,85,57.00,C,1,3
11290,7,20161,22140014,1275,CEM3043,"Construction Procurement & Bidding Process","Construction Procurement & Bidding Process",65,,68,,,62,84,71.00,B,1,3
